2025-12-03 20:47:34 | Sameer | 5649 | 104 | 
2025-12-03 20:48:38 | sam | 96 | 1 | 
2025-12-03 20:48:53 | sam | 1556 | 29 | 
2025-12-03 20:49:41 | sam | 7783 | 148 | HIGH SCORE!
2025-12-04 00:54:19 | sameer | 2377 | 43 | 
2025-12-04 01:00:37 | sameer | 2229 | 42 | 
2025-12-04 01:06:30 | Sam12 | 1839 | 34 | 
2025-12-04 01:08:23 | dfg | 7585 | 141 | 
2025-12-04 11:06:52 | zain | 1948 | 36 | 
2025-12-04 11:07:45 | zain | 2081 | 37 | 
2025-12-04 11:08:12 | Player | 870 | 16 | 
2025-12-04 11:08:27 | Player | 1583 | 30 | 
2025-12-04 11:08:50 | Player | 1778 | 33 | 
2025-12-04 11:09:03 | Player | 494 | 9 | 
2025-12-04 11:09:17 | Player | 1138 | 21 | 
2025-12-04 11:09:31 | Player | 1376 | 26 | 
2025-12-04 11:09:44 | Player | 1396 | 26 | 
2025-12-04 11:10:04 | Player | 1622 | 30 | 
2025-12-04 11:10:31 | Player | 2688 | 49 | 
2025-12-04 11:11:12 | Player | 6620 | 125 | 
2025-12-04 11:11:48 | Player | 2346 | 44 | 
2025-12-04 11:12:09 | Player | 2923 | 55 | 
2025-12-04 11:13:50 | Player | 69 | 0 | 
2025-12-04 11:15:59 | Player | 3819 | 70 | 
2025-12-04 11:16:33 | Player | 1853 | 34 | 
2025-12-04 11:16:58 | Player | 1949 | 36 | 
2025-12-04 11:17:38 | Player | 4294 | 79 | 
2025-12-04 11:19:41 | Player | 9004 | 165 | HIGH SCORE!
2025-12-04 21:45:07 | Sameer | 3108 | 58 | 
2025-12-04 21:45:28 | 123 | 2558 | 48 | 
2025-12-04 21:45:41 | sam | 976 | 18 | 
2025-12-04 22:03:20 | Player | 214 | 3 | 
2025-12-04 22:04:22 | Player | 8656 | 162 | 
